1	1-1	[0:1]	[0:1]	Table of contents	Table des matières	0.6852
1569	2-2	[1133:1135]	[1135:1137]	Actions taken through the Comprehensive Expenditure Review to reduce day-to-day operating spending complement other fiscal actions in Budget 2025, including proposing a reverse charge mechanism to help combat carousel fraud schemes and proposed legislative amendments to reform and modernize transfer pricing rules, to protect the integrity of Canada's tax system and ensure the government collects revenues that it should. Workforce Renewal	Les mesures prises dans le cadre de l'examen exhaustif des dépenses afin de réduire les dépenses de fonctionnement courantes complètent d'autres mesures fiscales prévues dans le budget de 2025. Il s'agit notamment de la proposition d'un mécanisme d'autoliquidation pour aider à lutter contre les stratagèmes frauduleux de type carrousel et de modifications législatives proposées pour réformer et moderniser les règles sur les prix de transfert, afin de protéger l'intégrité du régime fiscal canadien et de garantir que le gouvernement perçoive les impôts qui lui sont dus. Renouvellement de l'effectif	0.5821
1570	1-1*	[1135:1137]|subS[0:1/6]	[1137:1139]|subT[0:1/6]	The savings identified through CER will contribute to returning the size of the public service to a more sustainable level, with an estimated reduction of 16,000 full-time equivalents, or roughly 4.5 per cent of the workforce as of March 2025.	Les économies identifiées dans l'examen exhaustif des dépenses aideront à ramener la fonction publique à une taille plus viable, avec une réduction des postes estimée à 16 000 équivalents temps plein, soit environ 4,5 % de l'effectif en date de mars 2025.	0.5122
1571	1-1*	[1135:1137]|subS[1:2/6]	[1137:1139]|subT[1:2/6]	Of these reductions, some 650 will be executive positions, representing about 7 per cent of the executive population.	Ces réductions toucheront environ 650 postes de direction, ce qui représente environ 7 % de l'effectif de la haute direction.	0.5866
1572	1-1*	[1135:1137]|subS[2:3/6]	[1137:1139]|subT[2:3/6]	These reductions will continue the trend towards a more sustainable public service size of roughly 330,000 by 2028-29, a decline of about 40,000 or 10 per cent from the 2023-24 peak—where attrition has, and will continue to be, a driver.	Cette diminution des postes permettra de poursuivre la trajectoire vers une fonction publique d'une taille plus viable d'environ 330 000 fonctionnaires d'ici 2028-2029. Il s'agira d'une baisse de quelque 40 000 employés (10 %) par rapport au sommet atteint en 2023-2024. Comme ce fut le cas par le passé, l'attrition demeure un outil important dans le cadre d'un tel exercice.	0.5124
1573	1-1*	[1135:1137]|subS[3:4/6]	[1137:1139]|subT[3:4/6]	The government understands that transitions can be difficult and is committed to minimising hardship for federal employees, while also protecting diversity in the public service workforce and ensuring a strong, younger generation of public servants.	Le gouvernement comprend que les changements peuvent être difficiles, et il s'emploiera à faire en sorte que la situation soit la moins éprouvante possible pour les employés fédéraux, tout en préservant la diversité de l'effectif et en assurant une solide relève au sein de la jeune génération de fonctionnaires.	0.5542
1574	1-1*	[1135:1137]|subS[4:5/6]	[1137:1139]|subT[4:5/6]	This is a transformational time for the public service to revisit how we work, how we can improve services to Canadians and how we can build for the future.	En cette période de transformation, la fonction publique doit revoir sa façon de travailler et examiner les moyens d'améliorer les services fournis aux Canadiens et de bâtir pour l'avenir.	0.5148
1575	1-1*	[1135:1137]|subS[5:6/6]	[1137:1139]|subT[5:6/6]	A leaner public service is a more empowered and productive public service.	La rationalisation de la fonction publique accroîtra ses moyens d'agir et sa productivité.	0.3991
1576	1-2*	[1137:1138]|subS[0:1/4]	[1139:1140]|subT[0:2/3]	To manage these reductions to the greatest extent possible through attrition and voluntary departures, Budget 2025 proposes to amend the Public Service Superannuation Act and the Income Tax Regulations to offer a voluntary Early Retirement Incentive (ERI) program through the Public Service Pension Plan. Public servants at age 50 or above for Group 1 and age 55 or above for Group 2 who have at least ten years of employment, with at least two years of pensionable service in the Plan may apply to participate under parameters set by Treasury Board. These parameters will be designed to maintain essential services and business continuity. Eligible employees will be able to retire with an immediate pension based on years of service with no penalty for early retirement. Implementation would proceed by January 15,2026, or when legislation receives Royal Assent, and the government intends to conclude the ERI process within one year. This program, which will be sourced from the Public Service Pension Fund, is estimated to have a net fiscal impact of	Afin que ces réductions de personnel se fassent dans la plus grande mesure possible par l'attrition et au moyen de départs volontaires, le budget de 2025 propose de modifier la Loi sur la pension de la fonction publique et le Règlement de l'impôt sur le revenu afin d'offrir un programme volontaire d'encouragement à la retraite anticipée par l'intermédiaire du Régime de retraite de la fonction publique. Les fonctionnaires âgés de 50 ans ou plus pour le groupe 1 et de 55 ans ou plus pour le groupe 2, qui comptent au moins 10 années d'emploi et au moins deux années de service ouvrant droit à pension dans le Régime pourront demander à participer à ce programme, selon les critères établis par le Conseil du Trésor. Ces critères seront conçus de manière à assurer le maintien des services essentiels et la continuité des activités. Les employés admissibles pourront prendre leur retraite et toucher une pension immédiate en fonction de leurs années de service, sans pénalité pour retraite anticipée.	0.3822
1577	3-1*	[1137:1138]|subS[1:4/4]	[1139:1140]|subT[2:3/3]	$1.5 billion over five years, starting in 2025-26, while providing ongoing savings of $ 82.0 million annually.	Ce programme serait mis en œuvre à compter du 15 janvier 2026, ou dès que les modifications législatives recevront la sanction royale, et le gouvernement compte y mettre fin dans un délai d'un an. Il est estimé que ce programme, dont le financement proviendra de la Caisse de retraite de la fonction publique, aura une incidence budgétaire nette de 1,5 milliard de dollars sur cinq ans, à compter de 2025-2026, tout en permettant de réaliser des économies de 82,0 millions de dollars par année par la suite.	-0.0490
1578	2-1*	[1138:1140]|subS[0:2/3]	[1140:1142]|subT[0:1/3]	To support the increased workflow at the Government of Canada Pension Centre from administering this time-limited program, Budget 2025 proposes to provide Public Services and Procurement Canada with $	Pour permettre au Centre des pensions du gouvernement du Canada d'assumer la charge de travail accrue qu'entraînera l'administration de ce programme d'une durée limitée, le budget de 2025 propose d'accorder à cette fin à Services publics et Approvisionnement Canada	0.6493
1579	1-2*	[1138:1140]|subS[2:3/3]	[1140:1142]|subT[1:3/3]	15.0 million over two years, starting in 2025-26. As the size of the public service adjusts, so too, must the leadership. The government will reduce the executive cadre in the public service by 1,000 positions overall over the next two years, inclusive of positions reduced through CER and early retirements.	une somme de 15,0 millions de dollars sur deux ans, à compter de 2025-2026. À mesure que la taille de la fonction publique sera rajustée, il doit en être de même au niveau de la direction. Le gouvernement éliminera 1 000 postes de cadres supérieurs dans l'ensemble de la fonction publique au cours des deux prochaines années. Ce nombre inclut les postes qui seront éliminés au moyen des départs à la retraite anticipée et dans le cadre de l'examen exhaustif des dépenses.	0.5891
1580	1-1	[1140:1141]	[1142:1143]	The government will also reduce expenses on management and other consulting services by 20 per cent in three years' time – in order to reduce wasteful spending and empower the public service to take on more responsibility and accountability.	Le gouvernement réduira aussi de 20 % d'ici trois ans les dépenses consacrées aux services de conseil en gestion et autres, afin de diminuer les dépenses inutiles et d'accroître la prise de responsabilité et la reddition de comptes au sein de la fonction publique.	0.6981
1581	1-1*	[1141:1143]|subS[0:1/3]	[1143:1145]|subT[0:1/3]	These actions will ensure that the public service continues to provide effective services while being representative of the Canadians that it serves and fostering the next generation of public servants.	Ces mesures permettront d'assurer que la fonction publique continue de fournir des services efficaces tout en demeurant représentative de la population qu'elle sert et en favorisant la formation de la prochaine génération de fonctionnaires.	0.5181
1582	1-1*	[1141:1143]|subS[1:2/3]	[1143:1145]|subT[1:2/3]	In the coming weeks, participating organizations will be communicating these measures to their employees and collective bargaining agents.	Dans les semaines qui viennent, les organisations participantes informeront leurs employés et les agents négociateurs de ces mesures.	0.5466
1583	1-1*	[1141:1143]|subS[2:3/3]	[1143:1145]|subT[2:3/3]	The federal government will continue to identify more efficiencies and potential savings, which will be communicated in the 2026-27 Main Estimates and Departmental Plans.	Le gouvernement fédéral continuera de chercher d'autres moyens possibles de produire des gains d'efficacité et des économies, qui seront communiqués dans le Budget principal des dépenses et les plans ministériels de 2026-2027.	0.5702
